registered_at,memo_date,ticker,verdict,margin_of_safety,value_conservative,market_cap,implied_growth,exp_rev_growth_mid,exp_gm_low,exp_gm_high,exp_buybacks_continue,exp_nd_ebitda_max,exp_fcf_ni_min,thesis_driver
2026-07-12T11:51:42+00:00,2026-07-12,LEN,buy candidate,0.3885,33198626667.0,20300232808.0,-0.1,0.0874,,,True,1.22,0.8,"Price ($20.3B) sits BELOW the zero-growth EPV ($33.2B): the market is paying nothing for growth in a business that compounded revenue at 13.7%/yr for a decade. If the moat merely defends, the price is"
2026-07-12T11:51:42+00:00,2026-07-12,MTG,watch (needs price),0.2137,7569023333.0,5951336012.0,-0.0987,0.0024,,,True,1.0,0.8,"Price ($6.0B) sits BELOW the zero-growth EPV ($7.6B): the market is paying nothing for growth in a business that compounded revenue at 1.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-12T11:51:42+00:00,2026-07-12,HRB,watch (needs price),0.2111,6361640000.0,5018436614.0,-0.0979,0.0734,0.3818,0.5088,False,1.02,0.8,"Price ($5.0B) sits BELOW the zero-growth EPV ($6.4B): the market is paying nothing for growth in a business that compounded revenue at 2.0%/yr for a decade. If the moat merely defends, the price is co"
2026-07-12T11:51:42+00:00,2026-07-12,KBH,watch (needs price),0.3816,5583096667.0,3452415981.0,-0.1,0.0831,,,False,,0.8,"Price ($3.5B) sits BELOW the zero-growth EPV ($5.6B): the market is paying nothing for growth in a business that compounded revenue at 7.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-12T11:51:42+00:00,2026-07-12,ACGL,watch (needs price),0.1856,43356666667.0,35309310910.0,-0.0909,0.1856,,,True,1.0,0.8,"Price ($35.3B) sits BELOW the zero-growth EPV ($43.4B): the market is paying nothing for growth in a business that compounded revenue at 17.6%/yr for a decade. If the moat merely defends, the price is"
2026-07-12T11:51:42+00:00,2026-07-12,BBWI,watch (needs price),0.3662,6464921569.0,4097751623.0,-0.1,0.0253,0.3683,0.5064,True,2.63,0.8,"Price ($4.1B) sits BELOW the zero-growth EPV ($8.0B): the market is paying nothing for growth in a business that compounded revenue at -5.0%/yr for a decade. If the moat merely defends, the price is c"
2026-07-12T11:51:42+00:00,2026-07-12,LULU,watch (needs price),0.1782,16479963333.0,13542440503.0,-0.0889,0.2033,0.5017,0.6303,True,1.0,0.8,"Price ($13.5B) sits BELOW the zero-growth EPV ($16.5B): the market is paying nothing for growth in a business that compounded revenue at 18.3%/yr for a decade. If the moat merely defends, the price is"
2026-07-12T11:51:42+00:00,2026-07-12,ESNT,watch (needs price),0.1592,7054270000.0,5930958126.0,-0.0839,0.0571,,,True,1.0,0.8,"Price ($5.9B) sits BELOW the zero-growth EPV ($7.1B): the market is paying nothing for growth in a business that compounded revenue at 13.6%/yr for a decade. If the moat merely defends, the price is c"
2026-07-12T11:51:42+00:00,2026-07-12,IT,pass,0.1475,10463786667.0,8920670058.0,-0.0808,0.0965,0.6136,0.7618,True,1.53,0.8,"Price ($8.9B) sits BELOW the zero-growth EPV ($10.5B): the market is paying nothing for growth in a business that compounded revenue at 11.6%/yr for a decade. If the moat merely defends, the price is "
2026-07-12T11:51:42+00:00,2026-07-12,G,pass,0.1289,5715093333.0,4978406341.0,-0.076,0.0649,0.324,0.3969,True,1.34,0.8,"Price ($5.0B) sits BELOW the zero-growth EPV ($5.7B): the market is paying nothing for growth in a business that compounded revenue at 7.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-12T11:51:42+00:00,2026-07-12,EOG,pass,0.2544,95800000000.0,71425489124.0,-0.1,0.1546,,,True,1.0,0.8,"Price ($71.4B) sits BELOW the zero-growth EPV ($95.8B): the market is paying nothing for growth in a business that compounded revenue at 10.0%/yr for a decade. If the moat merely defends, the price is"
2026-07-12T11:51:42+00:00,2026-07-12,HPQ,pass,0.254,29692764706.0,22149738924.0,-0.1,-0.0048,0.1787,0.2334,True,1.95,0.8,"Price ($22.1B) sits BELOW the zero-growth EPV ($30.3B): the market is paying nothing for growth in a business that compounded revenue at 0.7%/yr for a decade. If the moat merely defends, the price is "
2026-07-12T11:51:42+00:00,2026-07-12,GAP,pass,0.103,7810000000.0,7005189707.0,-0.0695,0.0217,0.3602,0.4557,False,1.0,0.8,"Price ($7.0B) sits BELOW the zero-growth EPV ($7.8B): the market is paying nothing for growth in a business that compounded revenue at -0.3%/yr for a decade. If the moat merely defends, the price is c"
2026-07-12T11:51:42+00:00,2026-07-12,VVV,pass,0.1974,6139666667.0,4927994015.0,-0.0941,0.1866,0.3356,0.4344,True,2.57,0.8,"Price ($4.9B) sits BELOW the zero-growth EPV ($6.1B): the market is paying nothing for growth in a business that compounded revenue at -1.4%/yr for a decade. If the moat merely defends, the price is c"
2026-07-12T11:51:42+00:00,2026-07-12,CTSH,pass,0.1771,24470000000.0,20135609856.0,-0.0886,0.0486,,,True,1.0,0.8,"Price ($20.1B) sits BELOW the zero-growth EPV ($24.5B): the market is paying nothing for growth in a business that compounded revenue at 5.4%/yr for a decade. If the moat merely defends, the price is "
2026-07-20T20:20:40+00:00,2026-07-20,LEN,buy candidate,0.3984,33198626667.0,19972617105.0,-0.1,0.0874,,,True,1.22,0.8,"Price ($20.0B) sits BELOW the zero-growth EPV ($33.2B): the market is paying nothing for growth in a business that compounded revenue at 13.7%/yr for a decade. If the moat merely defends, the price is"
2026-07-20T20:20:40+00:00,2026-07-20,KBH,watch (needs price),0.3984,5583096667.0,3358627056.0,-0.1,0.0831,,,False,,0.8,"Price ($3.4B) sits BELOW the zero-growth EPV ($5.6B): the market is paying nothing for growth in a business that compounded revenue at 7.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-20T20:20:40+00:00,2026-07-20,LULU,watch (needs price),0.1961,16479963333.0,13248335405.0,-0.0938,0.2033,0.5017,0.6303,True,1.0,0.8,"Price ($13.2B) sits BELOW the zero-growth EPV ($16.5B): the market is paying nothing for growth in a business that compounded revenue at 18.3%/yr for a decade. If the moat merely defends, the price is"
2026-07-20T20:20:40+00:00,2026-07-20,MTG,watch (needs price),0.1806,7569023333.0,6201952270.0,-0.0896,0.0024,,,True,1.0,0.8,"Price ($6.2B) sits BELOW the zero-growth EPV ($7.6B): the market is paying nothing for growth in a business that compounded revenue at 1.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-20T20:20:40+00:00,2026-07-20,BBWI,watch (needs price),0.3612,6464921569.0,4130001482.0,-0.1,0.0253,0.3683,0.5064,True,2.63,0.8,"Price ($4.1B) sits BELOW the zero-growth EPV ($8.0B): the market is paying nothing for growth in a business that compounded revenue at -5.0%/yr for a decade. If the moat merely defends, the price is c"
2026-07-20T20:20:40+00:00,2026-07-20,ACGL,watch (needs price),0.1794,43356666667.0,35578342386.0,-0.0892,0.1856,,,True,1.0,0.8,"Price ($35.6B) sits BELOW the zero-growth EPV ($43.4B): the market is paying nothing for growth in a business that compounded revenue at 17.6%/yr for a decade. If the moat merely defends, the price is"
2026-07-20T20:20:40+00:00,2026-07-20,HRB,watch (needs price),0.1692,6361640000.0,5285266792.0,-0.0865,0.0734,0.3818,0.5088,False,1.02,0.8,"Price ($5.3B) sits BELOW the zero-growth EPV ($6.4B): the market is paying nothing for growth in a business that compounded revenue at 2.0%/yr for a decade. If the moat merely defends, the price is co"
2026-07-20T20:20:40+00:00,2026-07-20,ESNT,pass,0.1359,7054270000.0,6095911830.0,-0.0778,0.0571,,,True,1.0,0.8,"Price ($6.1B) sits BELOW the zero-growth EPV ($7.1B): the market is paying nothing for growth in a business that compounded revenue at 13.6%/yr for a decade. If the moat merely defends, the price is c"
2026-07-20T20:20:40+00:00,2026-07-20,HPQ,pass,0.2539,29692764706.0,22154312514.0,-0.1,-0.0048,0.1787,0.2334,True,1.95,0.8,"Price ($22.2B) sits BELOW the zero-growth EPV ($30.3B): the market is paying nothing for growth in a business that compounded revenue at 0.7%/yr for a decade. If the moat merely defends, the price is "
2026-07-20T20:20:40+00:00,2026-07-20,EOG,pass,0.2156,95800000000.0,75143233988.0,-0.0992,0.1546,,,True,1.0,0.8,"Price ($75.1B) sits BELOW the zero-growth EPV ($95.8B): the market is paying nothing for growth in a business that compounded revenue at 10.0%/yr for a decade. If the moat merely defends, the price is"
2026-07-20T20:20:40+00:00,2026-07-20,GM,pass,0.1044,76340000000.0,68368760659.0,-0.0699,0.091,,,True,1.0,0.8,"Price ($68.4B) sits BELOW the zero-growth EPV ($76.3B): the market is paying nothing for growth in a business that compounded revenue at 2.2%/yr for a decade. If the moat merely defends, the price is "
