registered_at,memo_date,ticker,node,theme,sleeve,idea_score,crowding_z,crowding_n_inputs,gates_passed,gate_notes,n_evidence,barbell_against,max_position_dollars,evidence_expectations,exit_triggers
2026-07-13T01:32:52+00:00,2026-07-13,NVT,dc_cooling,ai_dc_cooling,quiet_equity,1.4,0.0,0,True,all pass,2,VRT,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: VRT/MOD capacity adds; NVDA reference designs shifting cooling architecture per GPU generation — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:32:52+00:00,2026-07-13,MTSI,space_rf,space,quiet_equity,0.966,0.0,0,True,all pass,2,ASTS,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: DPA Title III GaN expansions (2028-29), ASTS/Starlink constellation cadence, defense demand crowding out commercial slots — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:33:33+00:00,2026-07-13,MYRG,dc_power,ai_dc_power,quiet_equity,2.3,0.0,0,True,all pass,5,GEV,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: GEV stretch to 24 GW/yr by mid-2028; announced US transformer capacity additions 2027-2028; FERC/PJM queue reforms — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:33:33+00:00,2026-07-13,POWL,dc_power,ai_dc_power,quiet_equity,2.3,0.0,0,True,all pass,5,GEV,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: GEV stretch to 24 GW/yr by mid-2028; announced US transformer capacity additions 2027-2028; FERC/PJM queue reforms — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:33:33+00:00,2026-07-13,TER,robotics_actuation,robotics_automation,quiet_equity,1.8,0.0,0,True,all pass,4,TSLA,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: Nabtesco capacity doubling timeline; Chinese reducer entrants (Leaderdrive) qualifying at scale; Announcement 61/62 suspension expiry 2026-11-10 — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:33:33+00:00,2026-07-13,TER,robotics_actuation,robotics_automation,quiet_equity,1.8,0.0,0,True,all pass,4,TSLA,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: Nabtesco capacity doubling timeline; Chinese reducer entrants (Leaderdrive) qualifying at scale; Announcement 61/62 suspension expiry 2026-11-10 — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-13T01:33:33+00:00,2026-07-13,MOD,dc_cooling,ai_dc_cooling,quiet_equity,1.61,0.0,0,True,all pass,2,VRT,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: VRT/MOD capacity adds; NVDA reference designs shifting cooling architecture per GPU generation — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-20T20:20:50+00:00,2026-07-20,ETN,dc_power,ai_dc_power,quiet_equity,2.4512,-0.902,1,True,all pass,5,GEV,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: GEV stretch to 24 GW/yr by mid-2028; announced US transformer capacity additions 2027-2028; FERC/PJM queue reforms — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-20T20:20:50+00:00,2026-07-20,MYRG,dc_power,ai_dc_power,quiet_equity,2.3,0.0,0,True,all pass,5,GEV,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: GEV stretch to 24 GW/yr by mid-2028; announced US transformer capacity additions 2027-2028; FERC/PJM queue reforms — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
2026-07-20T20:20:50+00:00,2026-07-20,GLW,optics_interconnect,optics_networking,quiet_equity,1.896,-0.74,1,True,all pass,3,POET,500.0,backlog/lead-time/pricing evidence strengthens at next two prints,"Capacity watch fires: Lumentum/Coherent InP expansions (6-inch), Chinese module makers' EML sourcing, LPO/CPO architecture shifts reducing EML content — constraint resolving = thesis expiring (these are 1-3yr theses, not holds) | Two consecutive prints without backlog/lead-time/pricing evidence strengthening | Design-out or architecture shift removing the node from the bottleneck path | Crowding z of this name rises above +1.5 (the quiet node is no longer quiet)"
